*****RestoreLuaState
**Restoring ref list
Reading key:TASK_FormationFleeState, resolveRef:0
Reading value:table, resolveRef:0
Reading key:OS_Incomplete, resolveRef:0
Reading value:table, resolveRef:0
Reading key:IEF_Camera, resolveRef:0
Reading value:table, resolveRef:0
Reading key:UIE_TerritoryEntered, resolveRef:0
Reading value:table, resolveRef:0
Reading key:ST_PREFAB, resolveRef:0
Reading value:table, resolveRef:0
Reading key:CE_ACHIEVDIEDTOZHANGJIAKOUGATE, resolveRef:0
Reading value:[15], resolveRef:0
Reading key:OFFSET_DIRECTION_BACK, resolveRef:0
Reading value:table, resolveRef:0
Reading key:ST_ENTITY, resolveRef:0
Reading value:table, resolveRef:0
Reading key:mkr_monford2_spawn, resolveRef:0
Reading value:table, resolveRef:0
Reading key:MAT_Entity, resolveRef:0
Reading value:table, resolveRef:0
Reading key:mkr_ivan_guards02, resolveRef:0
Reading value:table, resolveRef:0
Reading key:TFF_Visible, resolveRef:0
Reading value:[1], resolveRef:0
Reading key:TACTIC_Sequence, resolveRef:0
Reading value:table, resolveRef:0
Reading key:CMD_Face, resolveRef:0
Reading value:table, resolveRef:0
Reading key:SCMD_Recrew, resolveRef:0
Reading value:table, resolveRef:0
Reading key:GE_PlayerResourcesAwarded, resolveRef:0
Reading value:[6488064], resolveRef:0
Reading key:BS_NearResourceDropoff, resolveRef:0
Reading value:table, resolveRef:0
Reading key:WALLA_CAMP_SPEARWALL_LARGE, resolveRef:0
Reading value:sfx_campaign_scripted_large_group_spearwall, resolveRef:0
Reading key:SQUADEXTID_Modifier, resolveRef:0
Reading value:squad_modifier_ext, resolveRef:0
Reading key:EXTID_StimulusPerception, resolveRef:0
Reading value:stimulus_perception_ext, resolveRef:0
Reading key:AIEncounterType_AttackArea, resolveRef:0
Reading value:[1], resolveRef:0
Reading key:TP_Position, resolveRef:0
Reading value:table, resolveRef:0
Reading key:network_events, resolveRef:0
Reading value:table, resolveRef:0
Reading key:ITEM_UNLOCKED, resolveRef:0
Reading value:table, resolveRef:0
Reading key:RES_RefundOnDeath, resolveRef:0
Reading value:table, resolveRef:0
Reading key:CMD_Move, resolveRef:0
Reading value:table, resolveRef:0
Reading key:sg_allsquads, resolveRef:0
Reading value:table, resolveRef:0
Reading key:ECAV_OwnsTargetAndExecuterIsEnemy, resolveRef:0
Reading value:table, resolveRef:0
Reading key:OFFSET_FRONT, resolveRef:0
Reading value:[0], resolveRef:0
Reading key:GE_DistrictChanged, resolveRef:0
Reading value:[9109504], resolveRef:0
Reading key:g_missionObjectives, resolveRef:0
Reading value:table, resolveRef:0
Reading key:IS_GREATER_THAN, resolveRef:0
Reading value:table, resolveRef:0
Reading key:AID_EXPERT, resolveRef:0
Reading value:[3], resolveRef:0
Reading key:SCMD_Stop, resolveRef:0
Reading value:table, resolveRef:0
Reading key:AIEncounterNotification_Transition, resolveRef:0
Reading value:[2], resolveRef:0
Reading key:HPAT_Objective, resolveRef:0
Reading value:table, resolveRef:0
Reading key:forceGraceDelay, resolveRef:0
Reading value:[8], resolveRef:0
Reading key:AGE_NONE, resolveRef:0
Reading value:[0], resolveRef:0
Reading key:VF_VisualTerritorySectors, resolveRef:0
Reading value:table, resolveRef:0
Reading key:music_intensity_ranges, resolveRef:0
Reading value:table, resolveRef:0
Reading key:GD_HARD, resolveRef:0
Reading value:[2], resolveRef:0
Reading key:PBG_SquadFormation, resolveRef:0
Reading value:[2949120], resolveRef:0
Reading key:OFFSET_BACK_RIGHT, resolveRef:0
Reading value:[3], resolveRef:0
Reading key:MUS_STING_TRIUMPHANT, resolveRef:0
Reading value:mus_stinger_campaign_triumph_short, resolveRef:0
Reading key:AIFormationPhaseEncounter_EndReason_WasAttacked, resolveRef:0
Reading value:[6], resolveRef:0
Reading key:eg_AllSheepAtStart, resolveRef:0
Reading value:table, resolveRef:0
Reading key:WR_ELIMINATION, resolveRef:0
Reading value:[2], resolveRef:0
Reading key:ObjectiveType_Optional, resolveRef:0
Reading value:table, resolveRef:0
Reading key:__AI_enableDebugPrint, resolveRef:0
Reading value:[false], resolveRef:0
Reading key:COMBAT_Attack, resolveRef:0
Reading value:table, resolveRef:0
Reading key:PBG_EntityProperties, resolveRef:0
Reading value:[1245184], resolveRef:0
Reading key:SCMD_CancelQueuedCommand, resolveRef:0
Reading value:table, resolveRef:0
Reading key:HPAT_AttackLooping, resolveRef:0
Reading value:table, resolveRef:0
Reading key:sg_currentSelection, resolveRef:0
Reading value:table, resolveRef:0
Reading key:Ease_Sine, resolveRef:0
Reading value:table, resolveRef:0
Reading key:AII_None, resolveRef:0
Reading value:table, resolveRef:0
Reading key:WON, resolveRef:0
Reading value:table, resolveRef:0
Reading key:TASK_AbilityEncounter, resolveRef:0
Reading value:table, resolveRef:0
Reading key:GE_SelectionChanged, resolveRef:0
Reading value:[1442048], resolveRef:0
Reading key:MUSIC_EXPLORE_TENSE_RARE, resolveRef:0
Reading value:mus_combat_intensity_state_exp_tens_rare, resolveRef:0
